"original address","latitude","longitude"
"ADDRESS",40.447337,-3.707018
"Montello Ave. and Morse St., NE",38.903638,-76.989558
"Trinidad Ave., at Childress St., NE",38.906521,-76.983947
"Anacostia River (Both Banks) between John Phillip Sousa & 11th St. Bridges, SE",,
"7th and 9th Sts., to G and H Sts., SW",38.231603,-85.766942
"Luzon Ave., between Van Buren and 13th Sts., NW",12.667746,124.019583
"14th St. and Tennessee Ave., NE",38.89553,-76.985504
"23rd & S Sts., NW",38.914083,-77.050625
"East Capitol St., between Burns & B Sts., SE",,
"11th and Monroe Sts., NW",41.055224,-86.610369
"14th and Taylor Sts., NW",42.374334,-83.102374
"17th and Gales Sts., NE",38.898112,-76.97967
"24th St. and Rand Pl., NE",38.913349,-76.972165
"907 Westminster St., NW",38.914845,-77.024501
"Missouri Ave., between Madison Ave. & 7th Sts., NW",37.964253,-91.831833
"Nevada Ave.,Broadbranch Rd.,Chapel Rd.,NW",38.80261,-116.419389
"Linnean Ave. and Broad Branch Rd., NW",38.958513,-77.065185
"15th and 16th Sts., to P & Church Sts., NW",,
"Chevy Chase Parkway,Chevy Chase Parkway,Oliver St.,NW",38.961715,-77.071153
"14th St., between Underwood St. & Luzon Ave., NW",,
"9th and 10th Sts., to F and G Sts., NE",38.601407,-90.20803
"Massachusetts Ave.,36th St.,Garfield St.,NW",,
"Massachusetts Ave.,35th St.,Fulton,NW",,
"Massachusetts Ave.,36th St.,Fulton,NW",,
"Woodley Rd. & 29th St., NW",38.926308,-77.057725
"Quarry Rd.,18th St.,Harva Rd. St.,NW",,
"Kalorama Rd., between Columbia Rd. & 19th St., NW",,
"Columbia Rd.,19th St.,Kalorama Rd.,NW",,
"New Hampshire Ave.,17th St.,T St.,NW",43.193852,-71.572395
"New Hampshire Ave.,17th St.,S St.,NW",43.193852,-71.572395
"Lincoln Rd.,2nd St. ,Channing St.,NE",,
"6th St., between Evarts & Edgewood Sts., NE",,
"Lincoln Rd.,4th St.,Franklin St.,NE",,
"T and 3rd Streets, NW",47.040951,-100.791318
"Rhode Island Ave.,14th St.,Brentwood Rd.,NE",41.580095,-71.477429
"Gira Rd. St.,16th St.,Brentwood Rd.,NE",,
"Bladensburg Rd.,28th St.,Douglas St.,NE",38.939278,-76.933863
"Bladensburg Rd.,30th St.,Douglas St.,NE",38.939278,-76.933863
"South Dakota Ave., between 20th & Otis Sts., NE",43.969515,-99.901813
"South Dakota Ave., between Randolph & 19th Sts., NW",43.969515,-99.901813
"Michigan Ave.,12th St.,Shephe Rd. St.,NE",42.213976,-83.168516
"New Hampshire Ave.,Sherman Ave.,Park Place,NW",43.193852,-71.572395
"Mt. Pleasant St.,17th St.,Lamont St.,NW",32.832322,-79.828426
"Rock Creek Church Rd.,5th St.,Quincy St.,NW",,
"Kansas Ave.,13th St.,Quincy St.,NW",39.011902,-98.484246
"Ogden St.,14th St.,Oak St.,NW",41.223,-111.97383
"16th and Lamont Sts., NW",38.930443,-77.036467
"Georgia Ave.,9th St.,Upshur St.,NW",,
"49th St. and Fordham Rd., south of Quebec St., NW",,
"Massachusetts Ave.,47th St. ,Upton St.,NW",,
"Massachusetts Ave.,50th St.,Yuma St.,NW",,
"L St., between 9th and 11th Sts., SE",29.961126,30.905346
"Wisconsin Ave. and R St., NW",38.907868,-77.063583
"Hobart Pl. and Harvard St., west of Georgia Ave., NW",-42.881903,147.323815
"Manning Place and Macomb Streets, south of Sherier",,
"Kalmia and Jonquil Sts., NW",,
"Volta Pl. & Q St., to 33rd & 34th Sts., NW",,
"31st and W Sts., to Park and Hillcrest Drs., SE",,
"west of S. Capitol St., between G and K Sts., SW",38.902599,-77.02862
"Chesapeake St., east of Linnean Ave., NW",36.768209,-76.287493
"Arkansas Ave.,13th St.,Emerson St.,NW",35.20105,-91.831833
"Arkansas Ave.,Georgia Ave.,Farragut St.,NW",35.20105,-91.831833
"Illinois Ave.,9th St.,Ingraham St.,NW",41.898653,-87.844608
"Illinois Ave.,9th St.,Gallatin St.,NW",41.898653,-87.844608
"Georgia Ave. and Madison St., NW",33.659235,-84.439212
"New Hampshire Ave.,3rd St.,Decatur St.,NW",43.193852,-71.572395
"New Hampshire Ave., between 4th & Buchanan Sts., NW",43.193852,-71.572395
"Kansas Ave.,5th St.,Farragut St.,NW",33.892084,-87.52617
"New Hampshire Ave.,7th St.,Taylor St.,NW",43.193852,-71.572395
"18th St. and Argyle Terr., NW",38.944801,-77.04127
"Park Rd. and 19th St. NW",37.71954,-97.38967
"34th St., between Ordway St. & Reno Rd., NW",,
"Alaska Ave.,13th St.,Holly St.,NW",55.124144,-131.572458
"Western Ave and Pinhurst Circle, NW",38.975614,-77.066752
"Plymouth St. & Parkside Ln., NW",38.987898,-77.046594
"Plymouth Street at Sudbury Lane, NW",38.986733,-77.044766
"Kansas Ave., between Underwood and Tuckerman Sts., NW",39.011902,-98.484246
"Riggs Road & Nicholson St., NE",38.960731,-76.998884
"Ingraham and Hamilton Sts., to 2nd & 3rd Sts., NW",,
"13th and 14th Sts., to Hamilton & Gallatin Sts., NW",,
"Shepherd St. and Michigan Ave., NE",38.939403,-76.989401
"New Hampshire Ave.,8th St.,Randolph St.,NW",43.193852,-71.572395
"New Hampshire Ave.,21st St.,M St.,NW",38.906904,-77.046161
"25th and N Sts., NW",38.907138,-77.053292
"7th St., south of Alabama Ave., SE",38.843527,-76.995785
"Kansas Ave., between Gallatin & 4th Sts., NW",39.011902,-98.484246
"Kansas Ave.,3rd St.,Ingraham St.,NW",33.888559,-87.522085
"New Hampshire Ave., between Ingraham & 1st Sts., NW",43.193852,-71.572395
"Kansas Ave., between Longfellow & 2nd Sts., NW",39.011902,-98.484246
"Military Rd., between Belt Rd. and 42nd St., NW",,
"Reno Rd.,39th St.,Jenifer St.,NW",39.529633,-119.813803
"Reno Rd.,38th St.,Huntington St. ,NW",39.529633,-119.813803
"Wisconsin Ave.,42nd St.,Fessenden St.,NW",43.78444,-88.787868
"Western Ave.,48th St.,Ellicott St.,NW",,
"Livingston St., between 41st St. and Western Ave., NW",,
"Van Buren St., between 3rd and 4th Sts., NW",,
"Van Buren and Sheridan Sts., to 3rd & 5th Sts., NW",,
"Spring Rd., between Quincy and 9th Sts., NW",,
"37th St. and Idaho Ave., NW",38.937027,-77.072362
"32nd & Chesapeake Sts., NW",38.950723,-77.065171
"east of 39th St. and south of Newark St., NW",38.935699,-77.077194
"Potomac Ave. and 1st St., SE",38.87195,-77.005977
"13th and Emerson Sts., NE",42.107353,-102.878358
"New Hampshire Ave., 1st St. and Chillum Pl., NE",43.193852,-71.572395
"Michigan Ave.,18th St.,Bunker Hill Rd.,NE",44.314844,-85.602364
"4th St. and Blair Rd., NW",38.974513,-77.018032
"18th and Perry Sts., NE",38.936155,-76.979857
"Warder St, between Otis and Princeton Pls, NW",,
"Wisconsin Ave.,39th St. ,Veazy St.,NW",43.78444,-88.787868
