Address,County,latitude,longitude
whatever,"Washington, DC",40.447337,-3.707018
"Montello Ave. and Morse St., NE","Washington, DC",38.903638,-76.989558
"Trinidad Ave., at Childress St., NE","Washington, DC",38.906521,-76.983947
"7th and 9th Sts., to G and H Sts., SW","Washington, DC",38.231603,-85.766942
"Luzon Ave., between Van Buren and 13th Sts., NW","Washington, DC",12.667746,124.019583
"14th St. and Tennessee Ave., NE","Washington, DC",38.89553,-76.985504
"23rd & S Sts., NW","Washington, DC",38.914083,-77.050625
"11th and Monroe Sts., NW","Washington, DC",41.055224,-86.610369
"14th and Taylor Sts., NW","Washington, DC",42.374334,-83.102374
"17th and Gales Sts., NE","Washington, DC",38.898112,-76.97967
"24th St. and Rand Pl., NE","Washington, DC",38.913349,-76.972165
"907 Westminster St., NW","Washington, DC",38.914845,-77.024501
"Missouri Ave., between Madison Ave. & 7th Sts., NW","Washington, DC",37.964253,-91.831833
"Nevada Ave.,Broadbranch Rd.,Chapel Rd.,NW","Washington, DC",38.80261,-116.419389
"Linnean Ave. and Broad Branch Rd., NW","Washington, DC",38.958513,-77.065185
"Chevy Chase Parkway,Chevy Chase Parkway,Oliver St.,NW","Washington, DC",38.961715,-77.071153
"9th and 10th Sts., to F and G Sts., NE","Washington, DC",38.601407,-90.20803
"Woodley Rd. & 29th St., NW","Washington, DC",38.926308,-77.057725
"New Hampshire Ave.,17th St.,T St.,NW","Washington, DC",43.193852,-71.572395
"New Hampshire Ave.,17th St.,S St.,NW","Washington, DC",43.193852,-71.572395
"T and 3rd Streets, NW","Washington, DC",47.040951,-100.791318
"Rhode Island Ave.,14th St.,Brentwood Rd.,NE","Washington, DC",41.580095,-71.477429
"Bladensburg Rd.,28th St.,Douglas St.,NE","Washington, DC",38.939278,-76.933863
"Bladensburg Rd.,30th St.,Douglas St.,NE","Washington, DC",38.939278,-76.933863
"South Dakota Ave., between 20th & Otis Sts., NE","Washington, DC",43.969515,-99.901813
"South Dakota Ave., between Randolph & 19th Sts., NW","Washington, DC",43.969515,-99.901813
"Michigan Ave.,12th St.,Shephe Rd. St.,NE","Washington, DC",42.213976,-83.168516
"New Hampshire Ave.,Sherman Ave.,Park Place,NW","Washington, DC",43.193852,-71.572395
"Mt. Pleasant St.,17th St.,Lamont St.,NW","Washington, DC",32.832322,-79.828426
"Kansas Ave.,13th St.,Quincy St.,NW","Washington, DC",39.011902,-98.484246
"Ogden St.,14th St.,Oak St.,NW","Washington, DC",41.223,-111.97383
"16th and Lamont Sts., NW","Washington, DC",38.930443,-77.036467
"L St., between 9th and 11th Sts., SE","Washington, DC",29.961126,30.905346
"Wisconsin Ave. and R St., NW","Washington, DC",38.907868,-77.063583
"Hobart Pl. and Harvard St., west of Georgia Ave., NW","Washington, DC",42.881903,147.323815
