County,Year,Population,Rate
"Washington, DC",2001,574504,54.1
"Washington, DC",2002,573158,50.4
"Washington, DC",2003,568502,52.6
"Washington, DC",2004,567754,60.2
"Washington, DC",2005,567136,53.4
"Washington, DC",2006,570681,46.4
"Washington, DC",2007,574404,48.9
"Washington, DC",2008,580236,50.8
"Washington, DC",2009,592228,46.1
"Washington, DC",2010,601723,50.2
"Washington, DC",2011,617996,50.2
"Washington, DC",2012,632323,42.9
"Washington, DC",2013,646449,47.3
"Los Angeles, CA",2001,22202485,65.3
"Los Angeles, CA",2002,22406916,62.5
"Los Angeles, CA",2003,22595325,63.9
"Los Angeles, CA",2004,22740668,60.2
"Los Angeles, CA",2005,22837277,61.3
"Los Angeles, CA",2006,22903731,59.4
"Los Angeles, CA",2007,23010488,56.8
"Los Angeles, CA",2008,23228330,59
"Los Angeles, CA",2009,23456704,56.2
"Los Angeles, CA",2010,23629727,54.8
"Los Angeles, CA",2011,23912674,57.3
"Los Angeles, CA",2012,24166975,54.5
"Los Angeles, CA",2013,24375695,58.3
